"customer_state","avg_day_to_customers"
RR,29.387546013983922
AP,27.185067717006792
AM,26.425990900413357
AL,24.543855361979436
PA,23.77291691136826
MA,21.572976474119596
SE,21.51978828081889
CE,21.266578634927797
AC,21.035712962946853
PB,20.426767609615375
PI,19.45709826291378
RO,19.372036513109755
BA,19.335465824488363
RN,19.278156206030438
PE,18.448322994401824
MT,18.05575601172604
TO,17.658062609830314
ES,15.789307110366133
MS,15.618319018474233
GO,15.606338535454533
RJ,15.309437542171539
RS,15.30027619241045
SC,14.95478287676782
DF,12.967568108972717
MG,12.008665646063005
PR,11.991582227413579
SP,8.761385996084229
