"order_date","total_orders","daily_revenue"
"2017-11-01",127,19383.61
"2017-11-02",145,21263.73
"2017-11-03",169,22844.05
"2017-11-04",135,19169.07
"2017-11-05",162,17327.44
"2017-11-06",209,28600.29
"2017-11-07",177,20829.71
"2017-11-08",199,19240.51
"2017-11-09",223,25053.34
"2017-11-10",193,20223.84
"2017-11-11",175,23292.07
"2017-11-12",186,23087.26
"2017-11-13",235,24391.97
"2017-11-14",222,27049.68
"2017-11-15",216,23711.29
"2017-11-16",257,28268.82
"2017-11-17",225,29209.07
"2017-11-18",171,23233.3
"2017-11-19",176,19955.56
"2017-11-20",262,44284.47
"2017-11-21",258,34316.64
"2017-11-22",239,24962.57
"2017-11-23",336,44712.88
"2017-11-24",1366,152653.74
"2017-11-25",580,60923.48
"2017-11-26",456,45315.28
"2017-11-27",474,47923.66
"2017-11-28",431,47886.55
"2017-11-29",366,39834.75
